query_term,tweet_id,full_text,user_screen_name,sentiment_compound_input,calculated_sentiment_score_0_10,calculated_engagement_score_0_10,context_financial_stability_score_0_10,overall_potential_score_0_10
meme coin,,,TrendingMemeCns,0.0,5.0,10.0,10.0,8.0
meme coin,,,AshtonNFTs,0.0,5.0,10.0,10.0,8.0
meme coin,,,BasedMemeCoins,0.0,5.0,10.0,10.0,8.0
meme coin,,,KiboShib,0.0,5.0,10.0,10.0,8.0
meme coin,,,memcoinx10000,0.0,5.0,10.0,10.0,8.0
meme coin,,,MemeCoinsMafia,0.0,5.0,10.0,10.0,8.0
meme coin,,,TariffsMemeCoin,0.0,5.0,10.0,10.0,8.0
meme coin,1.922545755459322e+18,"**k!! Just made $2,000,000 and I’m giving away 100 $SOL

I will be helping 10 of you guys (10 SOL) per each. It can be used to buy your first memecoin or to buy your first Crypto.

Just RETWEET, drop your ADDRESS and make sure you’re a FOLLOWER.

Let’s go fam 🤎 https://t.co/8aRijjuhp1",CryptoGFishere,0.658,8.29,2.1834498507642075,10.0,6.971034955229262
meme coin,1.9223701142607304e+18,"FINALLY MADE $100k from a memecoin

As promised,
I want to change someone's life and send 25 $Sol (~$5,000) to one person by tomorrow.

Just like, retweet and comment 'done'.
Random winner in 15 hrs https://t.co/glAOQbS9IS",SolanaSupremo,0.8442,9.221,4.2533924234732385,10.0,7.964417727041972
meme coin,1.922491743573873e+18,Which #memecoin about to do this next? https://t.co/uTPOXYIsuG,jamiekingston,0.0,5.0,1.3266545986559872,10.0,5.397996379596796
